Fecha;Gestante
2013-01-01;14
2013-02-01;12
2013-03-01;18
2013-04-01;17
2013-05-01;24
2013-06-01;27
2013-07-01;23
2013-08-01;14
2013-09-01;26
2013-10-01;11
2013-11-01;25
2013-12-01;18
2014-01-01;19
2014-02-01;8
2014-03-01;11
2014-04-01;12
2014-05-01;21
2014-06-01;20
2014-07-01;41
2014-08-01;43
2014-09-01;43
2014-10-01;31
2014-11-01;52
2014-12-01;43
2015-01-01;30
2015-02-01;25
2015-03-01;29
2015-04-01;22
2015-05-01;44
2015-06-01;43
2015-07-01;47
2015-08-01;51
2015-09-01;71
2015-10-01;63
2015-11-01;80
2015-12-01;61
2016-01-01;48
2016-02-01;42
2016-03-01;50
2016-04-01;44
2016-05-01;35
2016-06-01;52
2016-07-01;48
2016-08-01;53
2016-09-01;60
2016-10-01;55
2016-11-01;73
2016-12-01;54
2017-01-01;26
2017-02-01;33
2017-03-01;49
2017-04-01;44
2017-05-01;45
2017-06-01;48
2017-07-01;44
2017-08-01;56
2017-09-01;60
2017-10-01;51
2017-11-01;70
2017-12-01;57
2018-01-01;43
2018-02-01;33
2018-03-01;54
2018-04-01;44
2018-05-01;57
2018-06-01;47
2018-07-01;59
2018-08-01;54
2018-09-01;58
2018-10-01;54
2018-11-01;41
2018-12-01;66
2019-01-01;27
2019-02-01;33
2019-03-01;43
2019-04-01;37
2019-05-01;45
2019-06-01;33
2019-07-01;44
2019-08-01;64
2019-09-01;59
2019-10-01;50
2019-11-01;58
2019-12-01;62
2020-01-01;37
2020-02-01;20
2020-03-01;32
2020-04-01;33
2020-05-01;35
2020-06-01;43
2020-07-01;51
2020-08-01;49
2020-09-01;50
2020-10-01;50
2020-11-01;71
2020-12-01;46
2021-01-01;20
2021-02-01;14
2021-03-01;30
2021-04-01;26
2021-05-01;22
2021-06-01;20
2021-07-01;42
2021-08-01;37
2021-09-01;50
2021-10-01;40
2021-11-01;48
2021-12-01;56
2022-01-01;23
2022-02-01;31
2022-03-01;40
2022-04-01;38
2022-05-01;43
2022-06-01;43
2022-07-01;47
2022-08-01;48
2022-09-01;59
2022-10-01;40
2022-11-01;40
2022-12-01;54
